"деятель,","дзеяч,","дзеяч, дэпутат"
"деловых вопросов","дзелавых пытанняў","рэстаранаў, дзелавых пытанняў"
"для фактического","для фактычнага","для фактычнага адказу"
"рецензиях на","рэцэнзіях на","на"
"рецензиях на","рэцэнзіях на","рэцэнзіі на"
"фактического","фактычнага","фактычнага адказу"
"и","і","фільмы і рэцэнзіі"
"и","і","пра фільмы і рэцэнзіі"
"и","і","пра фільмы і"
"и","і","фільмы і"
"и","і","і рэцэнзіі"
"и Localeze для","і Localeze для","і Localeze для рэстаранаў,"
"для информации","для інфармацыі","для інфармацыі пра"
"для информации","для інфармацыі","для інфармацыі пра фільмы"
"ответа на","надлому на","на"
"ответа на","надлому на","адказу на"
"информации о","інфармацыі аб","інфармацыі пра"
"информации о","інфармацыі аб","інфармацыі"
"информации о","інфармацыі аб","інфармацыі пра фільмы"
"и рецензиях","і рэцэнзіях","пра фільмы і"
"и рецензиях","і рэцэнзіях","пра фільмы і рэцэнзіі"
"и рецензиях","і рэцэнзіях","фільмы і"
"и рецензиях","і рэцэнзіях","фільмы і рэцэнзіі"
"и рецензиях","і рэцэнзіях","і рэцэнзіі"
"и рецензиях","і рэцэнзіях","і"
"фактического ответа","фактычнага надлому","фактычнага"
"фактического ответа","фактычнага надлому","фактычнага адказу"
"на","на","рэцэнзіі на"
"на","на","адказу на"
"фильмах и","фільмах і","і"
"фильмах и","фільмах і","пра фільмы і"
"фильмах и","фільмах і","пра фільмы і рэцэнзіі"
"фильмах и","фільмах і","фільмы і рэцэнзіі"
"фильмах и","фільмах і","фільмы і"
"фильмах и","фільмах і","і рэцэнзіі"
"деловых","дзелавых","рэстаранаў, дзелавых"
"информации","інфармацыі","інфармацыі пра"
"информации","інфармацыі","інфармацыі пра фільмы"
"для","для","для рэстаранаў,"
"для","для","для вэб-пошуку."
"с","з","переходіть з"
"в атоме","у атаме","атаме здольныя"
"в атоме","у атаме","атаме здольныя валодаць"
"в атоме","у атаме","ў атаме здольныя"
"в атоме","у атаме","ў атаме здольныя валодаць"
"в атоме","у атаме","ў атаме"
"в атоме","у атаме","атаме"
"и","і","і переходіть"
"лишь","толькі","валодаць толькі"
"лишь","толькі","здольныя валодаць толькі"
"с одного","з аднаго","переходіть з аднаго"
"лишь определёнными","толькі акрэсленымі","валодаць толькі акрэсленымі"
"лишь определёнными","толькі акрэсленымі","здольныя валодаць толькі акрэсленымі"
"атоме","атаме","ў атаме здольныя"
"атоме","атаме","ў атаме здольныя валодаць"
"атоме","атаме","атаме здольныя"
"атоме","атаме","атаме здольныя валодаць"
"атоме","атаме","ў атаме"
"взаимодействиях","узаемадзеяннях","няпругкіх узаемадзеяннях"
"взаимодействиях","узаемадзеяннях","няпругкіх узаемадзеяннях узнікае"
"взаимодействиях","узаемадзеяннях","узаемадзеяннях узнікае"
"как из","як з","як з зараджаных"
"частиц,","часціц,","зараджаных часціц,"
"вторичное","другаснае","узнікае другаснае"
"из","з","з зараджаных"
"бюст","бюст","усталяваны бюст"
"бюст академика","бюст акадэміка","усталяваны бюст акадэміка"
"на могиле","на магіле","маецца на магіле"
"на","на","маецца на"
"могиле в","магіле ў","магіле ў Алматы.."
"аллее славы","алеі славы","алеі славы усталяваны"
"славы","славы","славы усталяваны"
"на траве","на траве","на траве Акіяніі"
"Африка;","Афрыка;","Афрыка; Панамерыканская"
"и","і","і Акіянія."
"федерация хоккея","федэрацыя хакея","Панамерыканская федэрацыя хакея"
"Австралия и","Аўстралія і","Аўстралія і Акіянія."
"траве","траве","траве Акіяніі"
"федерация","федэрацыя","Панамерыканская федэрацыя"
"район города","раён горада","раён горада Кавасакі"
"японской","японскай","Кавасакі японскай"
"японской префектуры","японскай прэфектуры","Кавасакі японскай прэфектуры"
"участие в","удзел у","Прымаў удзел у"
"на","на","на Сталінградскім,"
"Южном,","Паўднёвым,","Сталінградскім, Паўднёвым,"
"участие","удзел","Прымаў удзел"
"время службы","час службы","Падчас службы"
"время службы","час службы","службы"
"службы в","службы ў","службы ў Кіеўскай"
"службы в","службы ў","Падчас службы ў"
"службы в","службы ў","Падчас службы ў Кіеўскай"
"военном округе","ваеннай акрузе","Кіеўскай ваеннай акрузе"
"службы","службы","Падчас службы"
"бригады в","брыгады ў","брыгады ў Прэсбурге."
"и","і","моў і"
"языков и","языкоў і","і"
"языков и","языкоў і","моў і"
"изучением исторических","вывучэннем гістарычных","Займаўся вывучэннем гістарычных"
"и культур","і культур","моў і культур"
"изучением","вывучэннем","Займаўся вывучэннем"
"документов,","дакументаў,","дакументаў, моў"
"должны","павінны","палі павінны"
"стандарт","стандарт","стандарт падыходзіць"
"документа поля","дакумента поля","раздрукаванага дакумента палі"
"документа поля","дакумента поля","дакумента палі"
"документа поля","дакумента поля","раздрукаванага дакумента"
"документа поля","дакумента поля","дакумента"
"не","не","паперы не"
"должны быть","павінны быць","палі павінны быць"
"для формата","для фармату","для фармату паперы"
"для формата","для фармату","падыходзіць для фармату паперы"
"для формата","для фармату","падыходзіць для фармату"
"Этот стандарт","Гэты стандарт","Гэты стандарт падыходзіць"
"документа","дакумента","раздрукаванага дакумента палі"
"документа","дакумента","дакумента палі"
"документа","дакумента","раздрукаванага дакумента"
"не менее","не менш","паперы не менш"
"формата","фармату","фармату паперы"
"для","для","падыходзіць для"
"для","для","для раздрукаванага"
"движки","рухавічкі","форумныя рухавічкі"
"популярны","папулярныя","папулярныя форумныя"
"время популярны","час папулярныя","папулярныя"
"время популярны","час папулярныя","папулярныя форумныя"
"движки Wakaba,","рухавічкі Wakaba,","форумныя рухавічкі Wakaba,"
"У некоторых","Ля некаторых","некаторых"
"У некоторых","Ля некаторых","У некаторых"
"некоторых видов","некаторых відаў","У некаторых відаў"
"некоторых","некаторых","У некаторых"
"пределах","межах","ў межах Вільнюскага"
"пределах","межах","размешчаны ў межах Вільнюскага"
"пределах","межах","ў межах"
"пределах","межах","межах Вільнюскага"
"пределах","межах","размешчаны ў межах"
"района,","раёна,","Вільнюскага раёна,"
"полностью","поўнасцю","поўнасцю размешчаны"
"полностью","поўнасцю","поўнасцю размешчаны ў"
"в пределах","у межах","размешчаны ў межах"
"в пределах","у межах","размешчаны ў межах Вільнюскага"
"в пределах","у межах","межах"
"в пределах","у межах","ў межах Вільнюскага"
"в пределах","у межах","ў межах"
"в пределах","у межах","межах Вільнюскага"
"почти полностью","амаль поўнасцю","амаль поўнасцю размешчаны ў"
"почти полностью","амаль поўнасцю","амаль поўнасцю размешчаны"
"на заказ","на заказ","ствараць на заказ"
"на","на","ствараць на"
"он мог","ён мог","ён мог ствараць"
"мог","мог","мог ствараць"
"раз","раз","раз з'явілася"
"французском","французскім","французскім тэлешоу"
"на европейском","на еўрапейскім","з'явілася на еўрапейскім"
"единственный раз","адзіны раз","адзіны раз з'явілася"
"во французском","у французскім","у французскім тэлешоу"
"певцом","спеваком","спеваком Энрыка"
"певцом","спеваком","спеваком Энрыка Масіясам."
"где","дзе","дзе выканала"
"песню","песню","выканала песню"
"на","на","з'явілася на"
"французским певцом","французскім спеваком","французскім спеваком Энрыка Масіясам."
"французским певцом","французскім спеваком","французскім спеваком Энрыка"
"французским","французскім","французскім тэлешоу"
"2009 году","2009 году","2009"
"2009 году","2009 году","2009 годзе"
"2009","2009","2009 годзе"
"в 2009","у 2009","аб'яднаны у 2009 годзе"
"в 2009","у 2009","у 2009 годзе"
"в 2009","у 2009","аб'яднаны у 2009"
"году,","году,","году, аб'яднаны"
"в","у","аб'яднаны у"
"году в","году ў","ў"
"году в","году ў","годзе ў"
"1860","1860","1860 годзе"
"В 1860","У 1860","У 1860 годзе"
"1860 году","1860 году","1860"
"1860 году","1860 году","1860 годзе"
"он создал","ён стварыў","годзе ён стварыў"
"году он","году ён","ён"
"году он","году ён","годзе ён"
"он","ён","годзе ён"
"а также","а таксама","а таксама сектарнасці."
"Распределение","Размеркаванне","Размеркаванне біёмаў"
"происходит","адбываецца","біёмаў адбываецца"
"происходит по","адбываецца па","біёмаў адбываецца па"
"также","таксама","таксама сектарнасці."
"плато с","плато з","Працягласць плато з"
"плато","плато","Працягласць плато"
"Ворота","Брамы","Брамы маюць"
"2","2","маюць 2"
"2","2","2 метры"
"2","2","маюць 2 метры"
"метра в","метра ў","ў"
"метра в","метра ў","метры ў"
"2 метра","2 метра","2 метры"
"2 метра","2 метра","маюць 2 метры"
"2 метра","2 метра","2"
"2 метра","2 метра","маюць 2"
"в","у","у Сталінградскай"
"в","у","Удзельнічаў у"
"в","у","Удзельнічаў у Сталінградскай"
"ССР,","ССР,","ССР, баях"
"в Восточной","ва Усходняй","баях ва Усходняй"
"битве,","бітве,","Сталінградскай бітве,"
"досками","дошкамі","дошкамі іміджборда."
"работы","работы","работы скрыпта"
"повышение производительности","павышэнне прадукцыйнасці","з'яўлялася павышэнне прадукцыйнасці"
"движок","рухавічок","форумны рухавічок"
"и","і","скрыпта і"
"разработки которого","распрацоўкі якога","распрацоўкі якога з'яўлялася"
"повышение","павышэнне","з'яўлялася павышэнне"
"консолидированного","кансалідаванага","кансалідаванага ўпраўлення"
"производительности работы","прадукцыйнасці работы","прадукцыйнасці работы скрыпта"
"общего консолидированного","агульнага кансалідаванага","агульнага кансалідаванага ўпраўлення"
"консолидированного управления","кансалідаванага ўпраўленні","кансалідаванага ўпраўлення"
"консолидированного управления","кансалідаванага ўпраўленні","кансалідаванага"
"которого","якога","якога з'яўлялася"
"и создание","і стварэнне","скрыпта і стварэнне"
"На уровне","На ўзроўні","На ўзроўні ледавіковага"
"ледникового плато","ледніковага плато","ледавіковага плато"
"ледникового плато","ледніковага плато","плато"
"плато","плато","ледавіковага плато"
"острове","востраве","востраве Хансю."
"на острове","на востраве","на востраве Хансю."
"особенно в","асабліва ў","асабліва ў Амазоніі"
"множество","мноства","Маюць мноства"
"множество местных","мноства мясцовых","Маюць мноства мясцовых"
"воздуха,","паветра,","паветра, малой"
"мм","мм","(130 мм"
"130 мм","130 мм","мм"
"130 мм","130 мм","(130 мм"
"количеством","колькасцю","малой колькасцю"
"количеством осадков","колькасцю асадкаў","малой колькасцю асадкаў"
"количеством осадков","колькасцю асадкаў","колькасцю асадкаў (130"
"количеством осадков","колькасцю асадкаў","малой колькасцю асадкаў (130"
"мм в","мм у","(130 мм у"
"осадков","асадкаў","асадкаў (130"
"которых","якіх","якіх вар'іравала"
"самые популярные","самыя папулярныя","самыя папулярныя персанажы"
"от мифологических","ад міфалагічных","вар'іравала ад міфалагічных"
"тематика которых","тэматыка якіх","Берлінскага вазапісца, тэматыка якіх"
"тематика которых","тэматыка якіх","вазапісца, тэматыка якіх вар'іравала"
"тематика которых","тэматыка якіх","Берлінскага вазапісца, тэматыка якіх вар'іравала"
"тематика которых","тэматыка якіх","вазапісца, тэматыка якіх"
"тематика которых","тэматыка якіх","тэматыка якіх вар'іравала"
"работ","работ","персанажы работ Берлінскага"
"работ","работ","работ Берлінскага вазапісца,"
"работ","работ","персанажы работ Берлінскага вазапісца,"
"работ","работ","работ Берлінскага"
"работ","работ","персанажы работ"
"популярные","папулярныя","папулярныя персанажы"
"тематика","тэматыка","вазапісца, тэматыка"
"тематика","тэматыка","Берлінскага вазапісца, тэматыка"
"от","ад","вар'іравала ад"
"постепенно","паступова","паступова павышаецца"
"низменности постепенно","нізіны паступова","нізіны паступова павышаецца"
"с","з","павышаецца з"
"несколько параллельных","некалькі паралельных","утвараючы некалькі паралельных куэставых"
"несколько параллельных","некалькі паралельных","некалькі паралельных куэставых"
"несколько параллельных","некалькі паралельных","утвараючы некалькі паралельных"
"350","350","складае 350"
"несколько","некалькі","утвараючы некалькі"
"ширина","шырыня","шырыня складае"
"Максимальная ширина","Максімальная шырыня","Максімальная шырыня складае"
"с юга","з поўдня","павышаецца з поўдня"
"гряд.","град.","куэставых град."
"север,","поўнач,","поўнач, утвараючы"
"параллельных","паралельных","паралельных куэставых"
"классической электродинамики","класічнай электрадынамікі","класічнай электрадынамікі паказваюць,"
"что","што","паказваюць, што"
"электродинамики","электрадынамікі","электрадынамікі паказваюць,"
"10−11","10−11","10−11 с."
"было опубликовано","было","было апублікавана"
"110","110","апублікавана 110"
"110 его","110 яго","апублікавана 110 яго"
"опубликовано 110","110","апублікавана 110"
"было","было","было апублікавана"
"не","не","не стыкаюцца,"
"не","не","не стыкаюцца, фарміруючы"
"который наблюдается","які назіраецца","які назіраецца ў"
"у некоторых","ля некаторых","некаторых"
"у некоторых","ля некаторых","некаторых відаў"
"у некоторых","ля некаторых","ў некаторых відаў"
"у некоторых","ля некаторых","ў некаторых"
"некоторых","некаторых","ў некаторых"
"некоторых","некаторых","некаторых відаў"
"некоторых","некаторых","ў некаторых відаў"
"наблюдается у","назіраецца ля","назіраецца"
"наблюдается у","назіраецца ля","назіраецца ў"
"деревьев,","дрэў,","відаў дрэў,"
"полог","полаг","стыкаюцца, фарміруючы полаг"
"полог","полаг","фарміруючы полаг"
"наблюдается","назіраецца","назіраецца ў"
"полог леса","полаг лесу","стыкаюцца, фарміруючы полаг лесу"
"полог леса","полаг лесу","фарміруючы полаг лесу"
"деревьев не","дрэў не","дрэў не стыкаюцца, фарміруючы"
"деревьев не","дрэў не","дрэў не стыкаюцца,"
"было заполнить","было запоўніць","нельга было запоўніць"
"было","было","нельга было"
"лакуны или","лакуны ці","лакуны ці пустоты,"
"которые","якія","пустоты, якія"
"которые","якія","якія нельга"
"которые","якія","пустоты, якія нельга"
"или","ці","ці пустоты,"
") и","і","і буйнакветкавыя"
"и","і","і буйнакветкавыя"
"делят на","дзеляць на","дзеляць на дробнакветкавыя"
"на","на","на дробнакветкавыя"
"задняя —","задняя —","жывата задняя —"
"мышечные","мышачныя","мышачныя часткі"
"—","—","— падуздышныя"
"задняя","задняя","жывата задняя"
"части трёх","часці трох","часткі трох"
"части трёх","часці трох","трох"
"позвоночника,","пазваночніка,","частка пазваночніка,"
"поясничная часть","паяснічная часць","паяснічная"
"поясничная часть","паяснічная часць","паяснічная частка"
"поясничная","паяснічная","паяснічная частка"
"мышц","мышцаў","мышцаў жывата"
"нижняя —","ніжняя —","ніжняя — падуздышныя"
"— поясничная","— паяснічная","— паяснічная частка"
"трёх широких","трох шырокіх","часткі трох шырокіх"
"кости","косткі","падуздышныя косткі"
"широких мышц","шырокіх мышцаў","шырокіх мышцаў жывата"
"— мышечные","— мышачныя","— мышачныя часткі"
"трёх","трох","часткі трох"
"мышечные части","мышачныя часці","мышачныя часткі"
"мышечные части","мышачныя часці","мышачныя"
"кости и","косткі і","падуздышныя косткі і"
"пехотного","пяхотнага","пяхотнага Пяцігорскага"
"лягушек и","жаб і","квакаючых жаб і інтэрв'ю"
"лягушек и","жаб і","квакаючых жаб і"
"лягушек и","жаб і","жаб і інтэрв'ю"
"с","з","інтэрв'ю з вучонымі, якія"
"с","з","з вучонымі, якія занімаюцца"
"с","з","з вучонымі, якія"
"с","з","інтэрв'ю з"
"с","з","інтэрв'ю з вучонымі,"
"с","з","з вучонымі,"
"с","з","інтэрв'ю з вучонымі, якія занімаюцца"
"Короткие видеоклипы","Кароткія відэакліпы","Кароткія відэакліпы квакаючых"
"лягушек","жаб","квакаючых жаб"
"и","і","і інтэрв'ю"
"проблематикой бесхвостых","праблематыкай бясхвостых","вучонымі, якія занімаюцца праблематыкай бясхвостых"
"проблематикой бесхвостых","праблематыкай бясхвостых","якія занімаюцца праблематыкай бясхвостых"
"проблематикой бесхвостых","праблематыкай бясхвостых","занімаюцца праблематыкай бясхвостых"
"проблематикой","праблематыкай","занімаюцца праблематыкай"
"проблематикой","праблематыкай","якія занімаюцца праблематыкай"
"проблематикой","праблематыкай","вучонымі, якія занімаюцца праблематыкай"
"видеоклипы","відэакліпы","відэакліпы квакаючых"
"из","з","інтэрв'ю з вучонымі, якія"
"из","з","з вучонымі, якія занімаюцца"
"из","з","з вучонымі, якія"
"из","з","інтэрв'ю з"
"из","з","інтэрв'ю з вучонымі,"
"из","з","з вучонымі,"
"из","з","інтэрв'ю з вучонымі, якія занімаюцца"
"батальоном","батальёнам","камандаваў батальёнам"
"пехотного","пяхотнага","пяхотнага Ціраспальскага"
"Озёра","Азёры","Азёры адрозніваюцца непаўторным"
"Озёра","Азёры","Азёры адрозніваюцца"
"ограда.","агароджа.","зроблена агароджа."
"вокруг зданий","навокал будынкаў","навокал будынкаў зроблена"
"был","быў","быў перабудаваны"
"монастыре был","кляштары быў","кляштары быў перабудаваны"
"зданий","будынкаў","будынкаў зроблена"
"меньшую","меншую","меншую пранікальную"
"способность,","здольнасць,","пранікальную здольнасць,"
"значительно","значна","мае значна"
"значительно меньшую","значна меншую","мае значна меншую пранікальную"
"значительно меньшую","значна меншую","значна меншую пранікальную"
"значительно меньшую","значна меншую","мае значна меншую"
"— JG;","— JG;","— JG; начных"
"истребителей","знішчальнікаў","начных знішчальнікаў"
"армейский корпус","армейскі корпус","10-ы армейскі корпус"
"армейский корпус","армейскі корпус","1-ы армейскі корпус"
"армейский корпус","армейскі корпус","2-гі армейскі корпус"
"пехотная дивизия","пяхотная дывізія","пяхотная дывізія 2-гі"
"армейский","армейскі","1-ы армейскі"
"армейский","армейскі","2-гі армейскі"
"армейский","армейскі","10-ы армейскі"
"армия","армія","армія 1-ы"
"дивизия","дывізія","народна-грэнадзёрская дывізія 10-ы"
"дивизия","дывізія","народна-грэнадзёрская дывізія"
"дивизия","дывізія","дывізія 2-гі"
"дивизия","дывізія","дывізія 10-ы"
"ядерных","ядзерных","ядзерных рэакцыях"
"лабораторных","лабараторных","лабараторных усталяваннях,"
"излучение","выпраменьванне","выпраменьванне ўзнікае"
"Нейтронное излучение","Нейтроннае выпраменьванне","Нейтроннае выпраменьванне ўзнікае"
"и лабораторных","і лабараторных","і лабараторных усталяваннях,"
"традиционные для","традыцыйныя для","вызначаліся традыцыйныя для"
"военнослужащих ВМС","вайскоўцаў ВМС","ваеннаслужачых ВМС"
"военнослужащих ВМС","вайскоўцаў ВМС","ВМС"
"и","і","і якія мелі"
"и","і","і якія"
"традиционные","традыцыйныя","вызначаліся традыцыйныя"
"узкие","вузкія","тыпу: вузкія"
"узкие —","вузкія —","тыпу: вузкія —"
"для военнослужащих","для вайскоўцаў","для"
"для военнослужащих","для вайскоўцаў","для ваеннаслужачых"
"ВМС РККА","ВМС РСЧА","ваеннаслужачых ВМС РСЧА"
"3","3","мелі 3 тыпу:"
"3","3","якія мелі 3 тыпу:"
"3","3","3 тыпу:"
"3","3","мелі 3"
"3","3","якія мелі 3"
"ВМС","ВМС","ваеннаслужачых ВМС"
"для","для","для ваеннаслужачых"
"древесины.","драўніны.","прамысловай драўніны."
"— источник","— крыніца","— крыніца прамысловай"
"источник деловой","крыніца дзелавой","крыніца"
"источник деловой","крыніца дзелавой","крыніца прамысловай"
"источник","крыніца","крыніца прамысловай"
"между","між","звязаных між"
"между","між","навэл, звязаных між"
"режиссёрами 8","рэжысёрамі 8","рэжысёрамі 8 навэл,"
"режиссёрами 8","рэжысёрамі 8","рэжысёрамі 8 навэл, звязаных"
"между собой","між сабой","звязаных між сабой"
"между собой","між сабой","навэл, звязаных між сабой"
"8","8","8 навэл, звязаных"
"8","8","8 навэл,"
"самым","самым","з'яўляецца самым"
"838","838","838 з'яўляецца"
"самым распространенным","самым распаўсюджаным","з'яўляецца самым распаўсюджаным"
"в","у","у дзіраколе."
"стандарт ISO 838","стандарт ISO 838","стандарт ISO 838 з'яўляецца"
"дырок в","дзірак у","дзірак у дзіраколе."
"об объявлении","аб абвестцы","аб аб’яўленні"
"об объявлении","аб абвестцы","аб"
"империи","імперыі","Асманскай імперыі"
"войну","вайну","абвясціла вайну Асманскай"
"войну","вайну","вайну Асманскай"
"войну","вайну","абвясціла вайну"
"империи 5","імперыі 5","Асманскай імперыі 5"
"об","аб","аб аб’яўленні"
"Британская империя","Брытанская імперыя","Брытанская імперыя абвясціла"
"империя","імперыя","імперыя абвясціла"
"объявлении войны","абвестцы вайны","аб’яўленні вайны"
"объявлении войны","абвестцы вайны","вайны"
"декларацией об","дэкларацыяй аб","дэкларацыяй аб аб’яўленні"
"человека.","чалавека.","справядлівага чалавека."
"описано законами","законамі","апісаны законамі"
"модель атома","мадэль атама","мадэль атама адпавядае"
"быть описано","быць","быць апісаны"
"законами классической","законамі класічнай","апісаны законамі класічнай"
"современным представлениям","сучаснымі прадстаўленням","адпавядае сучаснымі прадстаўленням"
"может быть","можа быць","можа быць апісаны"
"быть","быць","быць апісаны"
"законами","законамі","апісаны законамі"
"атома","атама","атама адпавядае"
"сезоне","сезоне","Бейтастолене ў сезоне"
"сезоне","сезоне","ў сезоне"
"этапе в","этапе ў","этапе ў Бейтастолене"
"этапе в","этапе ў","этапе ў Бейтастолене ў"
"в сезоне","у сезоне","сезоне"
"в сезоне","у сезоне","Бейтастолене ў сезоне"
"в сезоне","у сезоне","ў сезоне"
"источниках как","крыніцах як","крыніцах як Аральскі"
"как","як","як Аральскі"
"посёлок.","пасёлак.","Аральскі пасёлак."
"они могут","яны могуць","яны могуць рухацца"
"лазерным","лазерным","лазерным промнем,"
"только","толькі","рухацца толькі"
"помещаются","змяшчаюцца","промнем, змяшчаюцца"
"помещаются приблизительно","змяшчаюцца прыблізна","промнем, змяшчаюцца прыблізна"
"могут","могуць","могуць рухацца"
"только в","толькі ў","рухацца толькі ў"
"созданную лазерным","створаную лазерным","створаную лазерным промнем,"
"также водные","таксама водныя","рыхтуюць таксама водныя"
"настои или","настоі ці","настоі або"
"настои или","настоі ці","настоі"
"сырья","сыравіны","сыравіны рыхтуюць"
"настои","настоі","настоі або"
"— настои","— настоі","— настоі або"
"растительного сырья","расліннай сыравіны","расліннай сыравіны рыхтуюць"
"отвары,","адвары,","або адвары,"
"сборы,","зборы,","зборы, або"
"сборы,","зборы,","зборы, або гарбата."
"также","таксама","рыхтуюць таксама"
"раннюю,","раннюю,","распрацаваў раннюю,"
"Отделенный командир","Аддзялённы камандзір","Аддзялённы камандзір адсутнічаюць"
"Отделенный командир","Аддзялённы камандзір","адсутнічаюць Аддзялённы камандзір адсутнічаюць"
"Отделенный командир","Аддзялённы камандзір","адсутнічаюць Аддзялённы камандзір"
"Старшина","Старшына","адсутнічаюць Старшына"
"Старшина","Старшына","Старшына адсутнічаюць"
"состав","састаў","састаў адсутнічаюць"
"Старшина Главный","Старшына Галоўны","адсутнічаюць Старшына Галоўны"
"командир","камандзір","камандзір адсутнічаюць"
"Отделенный","Аддзялённы","адсутнічаюць Аддзялённы"
"Младший","Малодшы","адсутнічаюць Малодшы"
"со своими","са сваімі","са сваімі паплечнікамі-панцюркістамі"
"со своими","са сваімі","са сваімі паплечнікамі-панцюркістамі ў"
"Москву.","Маскву.","ў Маскву."
"Москву.","Маскву.","паплечнікамі-панцюркістамі ў Маскву."
"своими","сваімі","сваімі паплечнікамі-панцюркістамі ў"
"своими","сваімі","сваімі паплечнікамі-панцюркістамі"
"в рамках","у рамках","крокам у рамках"
"в рамках","у рамках","першым крокам у рамках"
"в","у","першым крокам у"
"в","у","крокам у"
"что стало","што стала","што стала першым крокам"
"что стало","што стала","што стала першым"
"стало","стала","стала першым"
"стало","стала","стала першым крокам"
"рамках общего","рамках агульнага","рамках агульнага рэбрэндынга."
"шагом в","ступой у","крокам у"
"шагом в","ступой у","першым крокам у"
"шагом в","ступой у","у"
"общего","агульнага","агульнага рэбрэндынга."
"—","—","— нарадзіўся"
"—","—","— нарадзіўся ў"
") —","—","— нарадзіўся"
") —","—","— нарадзіўся ў"
"Николаевич","Мікалаевіч","Валерый Мікалаевіч"
"Николаевич","Мікалаевіч","Валерый Мікалаевіч Очыраў"
"Николаевич","Мікалаевіч","Мікалаевіч Очыраў"
"посёлке","пасёлку","ў пасёлку"
"посёлке","пасёлку","нарадзіўся ў пасёлку"
"в посёлке","у пасёлку","нарадзіўся ў пасёлку"
"в посёлке","у пасёлку","ў пасёлку"
"в посёлке","у пасёлку","пасёлку"
"политика","палітыка","палітыка Мішэля"
"и политика","і палітыка","і палітыка Мішэля"
"известного","вядомага","вядомага ліванскага"
"от известного","ад вядомага","ад вядомага ліванскага"
"военного","ваеннага","ліванскага ваеннага"
"военного и","ваеннага і","ліванскага ваеннага і"
"шейного,","шыйнага,","шыйнага, тулаўнага,"
"крестцового и","крыжавога і","тулаўнага, крыжавога і"
"крестцового","крыжавога","тулаўнага, крыжавога"
"начальник штаба","начальнік штабы","начальнік"
"начальник штаба","начальнік штабы","начальнік штаба"
"начальник","начальнік","начальнік штаба"
"— начальник","— начальнік","— начальнік штаба"
"протонов","пратонаў","мікрочасціц (электронаў, пратонаў"
"протонов","пратонаў","(электронаў, пратонаў"
") и","і","і подчиняюшчихся"
"законам квантовой","законам квантавай","подчиняюшчихся законам квантавай"
"и","і","і подчиняюшчихся"
"протонов и","пратонаў і","(электронаў, пратонаў і"
"протонов и","пратонаў і","мікрочасціц (электронаў, пратонаў і"
"законам","законам","подчиняюшчихся законам"
"из","з","з мікрочасціц"
"из","з","з мікрочасціц (электронаў,"
"в","у","удзельнічаў у"
"части,","часці,","часці, удзельнічаў"
"—","—","— імперскага"
"марта 1946","сакавіка 1946","сакавіка"
"военного","ваеннага","імперскага ваеннага"
"1935 —","1935 —","1935 — імперскага"
"базе данных","базе даных","базе даных праіндексаваных"
"данных","даных","даных праіндексаваных"
"документов","дакументаў","праіндексаваных дакументаў"
"давало крейсеру","давала крэйсеру","давала крейсеру"
"давало крейсеру","давала крэйсеру","давала"
"возможность","магчымасць","крейсеру магчымасць"
"возможность","магчымасць","крейсеру магчымасць весці"
"возможность","магчымасць","магчымасць весці"
"давало","давала","давала крейсеру"
"увеличили до","павялічылі да","гармат павялічылі да"
"что давало","што давала","што давала крейсеру"
"орудий увеличили","прылад павялічылі","павялічылі"
"орудий увеличили","прылад павялічылі","гармат павялічылі"
"увеличили","павялічылі","гармат павялічылі"
"Угол возвышения","Рог узвышэння","Вугал узвышэння гармат"
"Угол возвышения","Рог узвышэння","Вугал узвышэння"
"Угол возвышения","Рог узвышэння","узвышэння"
"Угол возвышения","Рог узвышэння","узвышэння гармат"
"крейсеру возможность","крэйсеру магчымасць","магчымасць весці"
"крейсеру возможность","крэйсеру магчымасць","магчымасць"
"крейсеру возможность","крэйсеру магчымасць","крейсеру магчымасць весці"
"крейсеру возможность","крэйсеру магчымасць","крейсеру магчымасць"
"а","а","прэм'ерны паказ, а"
"а","а","адбыўся прэм'ерны паказ, а"
"а","а","паказ, а"
"а 1","а 1","прэм'ерны паказ, а 1"
"а 1","а 1","адбыўся прэм'ерны паказ, а 1"
"а 1","а 1","паказ, а 1"
"медалей и","медалёў і","шэрагам медалёў і"
"степени,","ступені,","ступені, шэрагам"
"медалей","медалёў","шэрагам медалёў"
"Отделенный командир","Аддзялённы камандзір","адсутнічае Аддзялённы камандзір"
"Генеральный армейский","Генеральны армейскі","адсутнічае Генеральны армейскі"
"Генеральный","Генеральны","адсутнічае Генеральны"
