"Государственной","Дзяржаўнай","дэпутат Дзяржаўнай"
"система","сістэма","Інфармацыйная сістэма"
"городе","горадзе","ў аўстралійскім горадзе"
"городе","горадзе","праводзіцца ў аўстралійскім горадзе"
"городе","горадзе","аўстралійскім горадзе"
"На","На","На сённяшні"
"день","дзень","сённяшні дзень"
"Соревнование","Спаборніцтва","Спаборніцтва арганізоўвае"
"изучением","вывучэннем","Займаецца вывучэннем"
"на","на","намінаваны на"
"был","быў","быў намінаваны"
"2000","2000","2000 годзе"
"фильм","фільм","годзе фільм"
"командиры","камандзіры","камандзіры былі"
"воздушного","паветранага","масіраванага паветранага"
"эффект","эфект","эфект масіраванага"
"единодушны","аднадушныя","былі аднадушныя"
"покойник","нябожчык","Малады нябожчык завецца"
"покойник","нябожчык","Малады нябожчык"
"покойник","нябожчык","нябожчык завецца"
"покойник","нябожчык","памерлы нябожчык"
"зятем","зяцем","завецца зяцем"
"фронта","фронту","фронту СПА"
"фронта","фронту","фронту СПА ўваходзілі:"
"также","таксама","таксама ўзнагароджаны"
"пятью","пяццю","ўзнагароджаны пяццю"
"и","і","і шэрагам"
"орденами","ордэнамі","ордэнамі Суворава"
"войска","войскі","войскі маюць"
"различные","розныя","маюць розныя"
"зависят","залежаць","канелюр залежаць"
"его","яго","яго энтазіс,"
"наличие","наяўнасць","энтазіс, наяўнасць"
"наличие","наяўнасць","энтазіс, наяўнасць канелюр"
"наличие","наяўнасць","наяўнасць канелюр"
"1964","1964","1964 годзе"
"Институт","Інстытут","заснаваны Інстытут"
"София","Сафія","Сафія адбыўся"
"Первый","Першы","адбыўся Першы"
"Болгарии","Балгарыі","Балгарыі заснаваны"
"1966","1966","1966 годзе"
"до","да","да 2-2,5"
"до","да","невялікай да"
"до","да","невялікай да 2-2,5"
"от","ад","ад невялікай"
"см","см","2-2,5 см"
"не","не","не адрозніваюцца"
"настолько","настолькі","бываюць настолькі"
"настолько","настолькі","бываюць настолькі далікатныя"
"настолько","настолькі","настолькі далікатныя"
"и","і","далікатныя і"
"от","ад","адрозніваюцца ад"
"рубцы","рубцы","рубцы бываюць"
"от","ад","памяншаецца ад"
"линии","лініі","лініі памяншаецца"
"созревание","паспяванне","паспяванне насення"
"наступает","наступае","насення наступае"
"с","з","ліст з"
"Красной","Чырвонай","войскаў Чырвонай"
"Красной","Чырвонай","вываду войскаў Чырвонай"
"и","і","і вываду"
"и","і","і вываду войскаў"
"Москву","Маскву","Маскву ліст"
"1","1","1 ФАП."
"промышленность","прамысловасць","Была прамысловасць"
"На","На","На юніёрскім"
"чемпионате","чэмпіянаце","юніёрскім чэмпіянаце"
"чемпионате","чэмпіянаце","чэмпіянаце свету"
"чемпионате","чэмпіянаце","юніёрскім чэмпіянаце свету"
"2012","2012","свету 2012"
"в","у","у індывідуальнай"
"была","была","Канціялахці была восьмай"
"была","была","была восьмай"
"была","была","Канціялахці была"
"представители","прадстаўніцы","прадстаўніцы ФІХ"
"в","у","ФІХ у"
"префектуре","прэфектуры","прэфектуры Токіа."
"2000","2000","2000 годзе"
"выходит","выходзіць","годзе выходзіць"
"системы","сістэмы","англа-саксонскай сістэмы"
"с","з","звязаныя з"
"не","не","не адпавядае"
"нежеланием","нежаданнем","нежаданнем барыстараў"
"нежеланием","нежаданнем","нежаданнем барыстараў страчваць"
"судебных","судовых","судовых спраў"
"странах","краінах","краінах англа-саксонскай"
"основном","асноўным","ў асноўным"
"основном","асноўным","тлумачыцца ў асноўным"
"современной","сучаснай","адпавядае сучаснай сусветнай практыцы"
"современной","сучаснай","адпавядае сучаснай сусветнай"
"современной","сучаснай","сучаснай сусветнай практыцы"
"современной","сучаснай","сучаснай сусветнай"
"современной","сучаснай","адпавядае сучаснай"
"привилегированное","прывілеяванае","барыстараў страчваць прывілеяванае"
"привилегированное","прывілеяванае","страчваць прывілеяванае"
"и","і","практыцы і тлумачыцца ў"
"и","і","сусветнай практыцы і"
"и","і","практыцы і тлумачыцца"
"и","і","і тлумачыцца"
"и","і","і звязаныя"
"и","і","сусветнай практыцы і тлумачыцца ў"
"и","і","сусветнай практыцы і тлумачыцца"
"и","і","практыцы і"
"и","і","і тлумачыцца ў"
"в","у","спраў у"
"бомбардировщиков","бамбардзіроўшчыкаў","хуткасных бамбардзіроўшчыкаў"
"анималистическими","анімалістычнымі","анімалістычнымі фрызамі."
"то","то","мае то"
"слово","слова","слова мае"
"отдельный","асобны","20-ы асобны"
"отдельный","асобны","47-ы асобны"
"район","раён","22-гі ўмацаваны раён"
"район","раён","ўмацаваны раён (Кінгісепскі"
"район","раён","21-ы ўмацаваны раён"
"район","раён","22-гі ўмацаваны раён (Карэльскі"
"район","раён","21-ы ўмацаваны раён (Кінгісепскі"
"район","раён","ўмацаваны раён (Карэльскі"
"район","раён","раён (Карэльскі"
"район","раён","раён (Кінгісепскі"
"район","раён","ўмацаваны раён"
"гаубичный","гаўбічны","541-ы гаўбічны"
"гаубичный","гаўбічны","519-ы гаўбічны"
"гаубичный","гаўбічны","577-ы гаўбічны"
"пушечный","пушачны","573-і пушачны"
"корпус","корпус","2-гі корпус СПА;"
"корпус","корпус","корпус СПА;"
"корпус","корпус","2-гі корпус"
"—","—","— Мі-8"
"—","—","— Мі-14)"
"и","і","Мі-8 і"
"траве","траве","траве адказывае"
"следующих","наступных","правядзенне наступных"
"В","У","У межах"
"за","за","адказывае за правядзенне"
"за","за","адказывае за"
"за","за","за правядзенне"
"своей","сваёй","межах сваёй"
"не","не","не з'яўляцца вяленем."
"не","не","не з'яўляцца"
"часто","часта","часта выкарыстоўваюць"
"термин","тэрмін","выкарыстоўваюць тэрмін"
"поверхности","паверхні","ледавіковай паверхні"
"линия","лінія","лінія размяшчаецца"
"на","на","размяшчаецца на"
"высоте","вышыні","Пераважныя вышыні"
"высоте","вышыні","Пераважныя вышыні ледавіковай"
"высоте","вышыні","вышыні ледавіковай"
"высоты","вышыні","Пераважныя вышыні"
"высоты","вышыні","Пераважныя вышыні ледавіковай"
"высоты","вышыні","вышыні ледавіковай"
"С","З","З запускам"
"новой","новай","запускам новай"
"2018","2018","2018 Пхенчхан"
"36","36","Пхенчхан 36"
"Белорусской","Беларускай","склад Беларускай"
"центром","цэнтрам","цэнтрам Замбраўскага"
"в","у","у склад"
"района","раёна","Замбраўскага раёна Беластоцкай"
"района","раёна","Замбраўскага раёна"
"района","раёна","раёна Беластоцкай"
"один","адзін","сазываецца адзін"
"который","які","які сазываецца"
"109","109","109 атакавалі"
"аэродромы","аэрадромы","атакавалі аэрадромы"
"соответствующие","адпаведныя","f-арбіталі), адпаведныя"
"на","на","на пад узроўні"
"на","на","на пад"
"исключением","выняткам","выняткам пярэдняспінкі"
"и","і","пярэдняспінкі і"
"и","і","і грудзямі,"
"за","за","грудзямі, за"
"—","—","— котка,"
"писательница","пісьменніца","пісьменніца Кіёхара"
"станционный","станцыйны","котка, станцыйны"
"—","—","Плод —"
"которых","якіх","прадстаўнікі атраду), у якіх"
"которых","якіх","атраду), у якіх"
"которых","якіх","у якіх"
"главным","галоўным","насяляюць, галоўным"
"главным","галоўным","якія насяляюць, галоўным"
"другие","іншыя","іншыя прадстаўнікі атраду), у"
"другие","іншыя","іншыя прадстаўнікі"
"другие","іншыя","іншыя прадстаўнікі атраду),"
"Участник","Удзельнік","Удзельнік Грамадзянскай"
"гестапо","гестапа","гестапа змясціла"
"его","яго","змясціла яго"
"третьего","трэцяга","трэцяга рэйха"
"вынудили","вымусілі","рэйха вымусілі"
"тычинки","тычынкі","тычынкі размешчаны"
"тычинки","тычынкі","тычынкі размешчаны ў"
"трубке","трубцы","ў трубцы"
"трубке","трубцы","размешчаны ў трубцы"
"лётной","лётнай","лётнай гімнасцёрке"
"золотой","залатой","залатой фальзе,"
"проведённых","праведзеных","фальзе, праведзеных"
"соревнованиях","спаборніцтвах","спаборніцтвах удзельнічае"
"с","з","удзельнічае з"
"стойким","стойкім","хімічна стойкім"
"изобретение","вынаходства","папкі-рэгістратарa вынаходства"
"изобретение","вынаходства","вынаходства дзіракола"
"изобретение","вынаходства","папкі-рэгістратарa вынаходства дзіракола"
"авторучка","аўтаручка","аўтаручка з"
"золотым","залатым","з залатым"
"современной","сучаснай","сучаснай папкі-рэгістратарa"
"Части","Часці","Часці непасрэднага"
"Части","Часці","Часці непасрэднага падпарадкавання"
"фронту","фронту","непасрэднага падпарадкавання фронту"
"фронту","фронту","падпарадкавання фронту"
"фронта","фронту","непасрэднага падпарадкавання фронту"
"фронта","фронту","падпарадкавання фронту"
"истребителей","знішчальнікаў","цяжкіх знішчальнікаў"
"1","1","1 брамнік),"
"меньше","менш","індорхакее менш"
"как","як","як правіла"
"площадке","пляцоўцы","адпавядае пляцоўцы"
"20","20","правіла 20"
"командах","камандах","супрацьлеглых камандах"
"тогда","тады","брамнік), тады"
"что","што","што адпавядае"
"в","у","у супрацьлеглых"
"России","Расіі","Расіі забаронена."
"из-за","з-за","ўраўнаважаны з-за"
"из-за","з-за","(кольцы ўраўнаважаны з-за"
"на","на","пабудавана на"
"была","была","была пабудавана"
"Индекс","Індэкс","Індэкс уяўляе"
"собой","сабой","уяўляе сабой"
"участие","удзел","прымаюць удзел"
"которых","якіх","якіх прымаюць"
"Индекс","Індэкс","Індэкс грунтуецца"
"на","на","грунтуецца на"
"и","і","і праваабарончыя"
"и","і","Сусветнага банку і"
"и","і","банку і"
"был","быў","быў уключаны"
"был","быў","быў уключаны ў"
"программу","праграму","уключаны ў праграму"
"программу","праграму","ў праграму"
"количество","колькасць","велізарная колькасць"
"ноября","лістапада","лістапада ўзяла"
"Неоднократно","Неаднаразова","Неаднаразова перамагала"
"Неоднократно","Неаднаразова","Неаднаразова перамагала ў"
"юношеских","юнацкіх","ў юнацкіх"
"юношеских","юнацкіх","перамагала ў юнацкіх"
"и","і","У.Кірыенка і"
"и","і","і А.Багалій-Цітавец"
"и","і","У.Кірыенка і А.Багалій-Цітавец"
"призы","прызы","прызы У.Кірыенка"
"крутые","крутыя","атачаюць крутыя"
"сами","самі","маюць самі"
"Озёра","Азёры","Азёры атачаюць"
"глубину","глыбіню","глыбіню маюць"
"—","—","года —"
"1905","1905","1905 года"
"домов","дамоў","насупраць дамоў"
"не","не","вырашылі не аднаўляць -"
"не","не","вырашылі не аднаўляць"
"не","не","не аднаўляць"
"не","не","не аднаўляць -"
"не","не","вырашылі не"
"бульвар","бульвар","бульвар насупраць"
"его","яго","яго вырашылі"
"на","на","- на"
"на","на","аднаўляць - на"
"складов","складоў","утрыманне складоў"
"компонента","кампанента","кампанента УС"
"по","па","нагадваюць па"
"по","па","якія нагадваюць па"
"клюшек","клюшак","перакрыжаваных клюшак"
"элементы","элементы","выкарыстаны элементы"
"двух","двух","двух перакрыжаваных"
"логотипе","лагатыпе","лагатыпе выкарыстаны"
"юга","поўдня","Ірана, поўдня"
"Вид","Від","Від распаўсюджаны"
"Вид","Від","Від распаўсюджаны ў Міжземнамор'і,"
"Вид","Від","Від распаўсюджаны ў"
"в","у","ў Міжземнамор'і, у"
"в","у","распаўсюджаны ў Міжземнамор'і, у"
"в","у","Міжземнамор'і, у"
"германцев","германцаў","германцаў Герман Парцынгер"
"германцев","германцаў","германцаў Герман"
"—","—","Герман Парцынгер —"
"—","—","Парцынгер —"
"и","і","готаў і"
"истории","гісторыі","гісторыі готаў"
"—","—","— індор-хакей."
"атомов","атамаў","атамаў надаецца"
"а","а","імпульс, а"
"один","адзін","надаецца адзін імпульс,"
"один","адзін","адзін імпульс,"
"один","адзін","надаецца адзін"
"таким","такім","такім чынам, спрыяе"
"таким","такім","такім чынам,"
"с","з","з падвышанай"
"минимальное","мінімальнае","забяспечвае мінімальнае"
"более","больш","чынам, спрыяе больш"
"более","больш","спрыяе больш"
"механизм","механізм","механізм забяспечвае"
"концентрацией","канцэнтрацыяй","падвышанай канцэнтрацыяй"
"отрядов","атрадаў","атрадаў басмачэй"
"для","для","басмачэй для"
"операций","аперацый","аперацый супраць"
"на","на","Джэмаль-паша ўзяў на"
"на","на","ўзяў на"
"рукопись","рукапіс","Аблічбаваны рукапіс"
"время","час","акрэслены час"
"на","на","на акрэслены"
"от","ад","адхіляюцца ад"
"полей","палёў","палёў адхіляюцца"
"Генеральной","Генеральнай","Генеральнай інспекцыі"
"Начала","Пачаткі","Пачаткі займацца"
"спортом","спортам","займацца спортам"
"штурмовой","штурмавой","штурмавой авіядывізіі"
"1945","1945","лютага 1945"
"1945","1945","Да лютага 1945"
"целости","цэласці","цэласці дзявочай"
"траве","траве","траве (ФІХ)."
"Международная","Міжнародная","ўтворана Міжнародная"
"была","была","была ўтворана"
"каждой","кожнай","У кожнай"
"следующие","наступныя","выдадзены наступныя"
"городе","горадзе","горадзе Лазана."
"Кинокритик","Кінакрытык","Кінакрытык Пітэр"
"Кинокритик","Кінакрытык","Кінакрытык Пітэр Брэдшоў"
"в","у","Пітэр Брэдшоў у"
"в","у","Брэдшоў у"
"из","з","з надатраду"
"на","на","падузроўней на"
"этих","гэтых","гэтых падузроўней"
"с","з","Саюза з"
"Советского","Савецкага","Савецкага Саюза"
"годы","гады","ў гады"
"годы","гады","гады Вялікай"
"годы","гады","ў гады Вялікай"
"годы","гады","праяўленыя ў гады"
"годы","гады","праяўленыя ў гады Вялікай"
"был","быў","Гарагляд быў удастоены"
"был","быў","Леанід Гарагляд быў удастоены"
"был","быў","Леанід Гарагляд быў"
"был","быў","быў удастоены"
"был","быў","Гарагляд быў"
"подполковник","падпалкоўнік","падпалкоўнік Леанід Гарагляд"
"подполковник","падпалкоўнік","падпалкоўнік Леанід"
"высокого","высокага","удастоены высокага"
"года","гады","ў гады"
"года","гады","гады Вялікай"
"года","гады","ў гады Вялікай"
"года","гады","праяўленыя ў гады"
"года","гады","праяўленыя ў гады Вялікай"
"Отечественной","Айчыннай","Вялікай Айчыннай"
"Вильгельмом","Вільгельмам","інспектарам Эрнстам Вільгельмам Беербамам"
"Вильгельмом","Вільгельмам","Вільгельмам Беербамам"
"Вильгельмом","Вільгельмам","інспектарам Эрнстам Вільгельмам"
"Вильгельмом","Вільгельмам","Эрнстам Вільгельмам Беербамам"
"Вильгельмом","Вільгельмам","Эрнстам Вільгельмам"
"в","у","Беербамам у"
"рыболовным","рыбалоўным","рыбалоўным інспектарам Эрнстам"
"рыболовным","рыбалоўным","рыбалоўным інспектарам"
"уезда","павета","Казалінскага павета Сырдар'інскай"
"уезда","павета","Казалінскага павета"
"уезда","павета","павета Сырдар'інскай"
"состав","састаў","састаў Казалінскага"
"области","вобласці","вобласці Туркестанскага"
"области","вобласці","Сырдар'інскай вобласці Туркестанскага"
"области","вобласці","Сырдар'інскай вобласці"
